商品评论,情感分析结果,评价倾向
"""很好！孩子喜欢大",0.957705399885397,喜欢
"赞一个""",0.9111553016024115,喜欢
很好,0.7795229979671993,喜欢
首先，快递师傅的工作热情和态度很好其次东西包装完。给评不错,0.5462602734756538,一般
一本字典大小，买来当作参考书用喜欢。随时查有些东西店不到网上可以希望自己能的着工路还长切走更远好2017加油,0.9565808942875647,喜欢
方便携带，平时翻随学习。,0.9358098693328704,喜欢
不错，书店找到还是网方便好学习天向上,0.9872663813511434,喜欢
很好啊，质量上班几年了有空时多学习一下！,0.982591685359147,喜欢
封皮颜色看起来怪的，喜欢原有第七版设计,0.19102245101905824,不喜欢
像字典那么大，内容比较全面。,0.7622918832123228,喜欢
剛收到，小哥送貨快挺滿意的,0.7802809916622196,喜欢
物流很快，正品行货满意！,0.9786030319994306,喜欢
京东物流太速度了，买这本书就是因为小带着方便,0.7568141632857296,喜欢
打包一看封面掉漆，沾贴不正象是规厂家出版的内容有待确认。,0.5162519027465,一般
双1在京东给宝买了太多的书，满减过后价格非常美丽印刷质量也很好小家伙现每晚都要一个故事才肯乖睡觉。,0.9964522299605991,喜欢
东西好的没话说，下次还买一如既往支持 ,0.9489655141467463,喜欢
给娃囤的，6个月只会啃没有什么耐心听故事长牙阶段太闹腾。,0.771378911619762,喜欢
内容经典，娃爱不释手要讲好多遍活动期购买超级划算,0.999921968603137,喜欢
京东活动真多啊，又买了好绘本不嫌。,0.45443682993359713,一般
"""金羽毛这系列书都不错，适合大一点的小朋友先买来收藏着搞活动也十分优",0.9991069704451803,喜欢
"惠包装很好！""",0.8852487198985762,喜欢
jd的书 一两个月就要购入很多本绘选择,0.9853835902812002,喜欢
给小孩买的 陪着一起阅读希望他也爱上书,0.9449468836360853,喜欢
还不错吧，值得购买。,0.9719528364976782,喜欢
商品符合预期，京东物流给力。,0.5571816717231638,一般
好书 替象棋大师买的信任京东就是快,0.9773556970361648,喜欢
很不错适合孩子上小学前放假使用,0.9951140247966401,喜欢
非常好，很适合用下次再来有建设性希望大卖？,0.8043984753235748,喜欢
一直在京东买西的，很不错,0.9236013490867248,喜欢
京东速度就是快，小朋友可以练起来了。,0.8603327255005669,喜欢
挺好的书，很多人建议这本呦,0.6982440490458257,喜欢
小朋友很喜欢,0.9017068386157789,喜欢
推荐 好书,0.8159220107974049,喜欢
不错,0.8612132352941176,喜欢
书不错，值得一看。,0.9703678077775209,喜欢
618活动全场20-，还是挺划算的帮同事买书。,0.8790234178488313,喜欢
此用户未填写评价内容,0.09928912174037674,不喜欢
